Destino,Departamento,Grado de Dificultad,Características,Costos Principales,Opciones de Alojamiento,Opciones de comer,Contacto Principal,Acceso / Ubicación,Coordenadas GPS,Sitio Web,Popularidad,
Museo Departamental de San José,San José,Fácil,"Institución cultural ubicada en una antigua casona del siglo XIX. Alberga valiosas colecciones de artes plásticas nacionales, documentos históricos regionales y muestras temporales.",Entrada libre y gratuita.,"Hotel San José (Asamblea 656, $$), Hostería del Parque (Parque Rodó, $$), Hotel Plaza (Asamblea 620, $$)",Restaurantes y cafés en el centro de San José de Mayo ($$),Tel: +598 4342 2229 | Correo: museo@sanjose.gub.uy,"Calle Dr. Efe Al माध्यम (Becerro de Bengoa) 493, San José de Mayo.","-34.337849, -56.714410",sanjose.gub.uy,Emergente,
Museo Didáctico Artiguista (Piriápolis),Canelones,Fácil,"Ubicado dentro del histórico Castillo de Piria. Expone colecciones de época, armamento militar del siglo XIX, uniformes e historia del artiguismo.",Entrada libre y gratuita.,"Argentino Hotel Casino & Resort ($$$), San Remo Terrazas Hotel ($$), Hotel Colón ($$), Hotel Rivadavia ($$)",Se ha producido un error. Inténtalo de nuevo.,Tel: +598 4432 0251 | Correo: castillopiria@maldonado.gub.uy,"Ruta 37, km 7 (mismo predio del Castillo de Piria).","-34.524684, -56.281210",piria.gub.uy,Emergente,
Museo e Iglesia de Piria,Maldonado,Fácil,Estructura histórica que quedó inconclusa diseñada por Francisco Piria.,Acceso libre exterior.,Hoteles en Piriápolis ($$),Sin opciones gastronómicas en el sitio.,Asociación de Guías de Piriápolis,"Ruta 37, km 6, Piriápolis","-34.845323, -55.271527",maldonado.gub.uy,Emergente,
Museo Escolar Rural de Soriano,Soriano,Fácil,"Ubicado en las cercanías de Mercedes, rescata la historia de la educación rural del país con pupitres históricos y material pedagógico antiguo.",Entrada gratuita con agenda previa.,Hoteles céntricos en Mercedes ($$-$$$),"Restaurante Lido (En Mercedes, $$)",Tel: +598 4532 3012,"Ruta 2, km 268 (Escuela Rural adyacente).","-33.394616, -58.319766",soriano.gub.uy,Emergente,
Museo Figari,Montevideo,Fácil,"Dedicado exclusivamente a preservar y difundir el legado del pintor, abogado y pensador Pedro Figari y de su hijo Juan Carlos Figari Castro.",Entrada libre y gratuita.,"Chic Hotel (Piedras 597, $$), Smart Hotel Montevideo (Andes 1240, $$), Hotel Splendido (Sarasí 184, $), Don Hotel (Piedras 280, $$$)","Café Brasilero (Ituzaingó 1447, $$), Jacinto (Sarandí 349, $$), Estrecho (Sarandí 460, $$), La Corte (Sarandí 586, $$)",Tel: +598 2915 7065 | Correo: museofigari@mec.gub.uy,"Juan Carlos Gómez 1427, Ciudad Vieja.","-34.905624, -56.203670",museofigari.gub.uy,Moderada,
Museo Gurvich,Montevideo,Fácil,"Dedicado a la obra del artista José Gurvich, uno de los alumnos más destacados del Taller Torres García. Pinturas, cerámicas y objetos personales en un moderno edificio.",Entrada general: ~$200 UYU (Martes libre).,"Alma Histórica Boutique Hotel (Ciudad Vieja, $$$), Don Boutique Hotel (Ciudad Vieja, $$), Viajero Montevideo Hostel (Hostel, $), Smart Hotel Montevideo (Céntrico, $$)","Jacinto (Sarandí 349, $$), Estrecho (Sarandí 460, $$), La Corte (Sarandí 586, $$), Café El Copacabana (Sarandí 454, $)",Tel: +598 2915 7826 | Correo: museogurvich@gmail.com,"Peatonal Sarandí 524, Ciudad Vieja.","-34.907477, -56.204403",museogurvich.org,Moderada,
"Museo Histórico ""Casa de Rivera""",Durazno,Fácil,"Antigua residencia del Gral. Fructuoso Rivera, edificación colonial de 1830. Exhibe valiosos documentos históricos fundacionales, objetos de la época de las guerras civiles y colecciones arqueológicas.",Entrada libre y gratuita.,"Hotel Santa Cristina ($$$), Hotel Central ($$), Hotel Durazno ($$), Hotel Boutique Patio Sarandí ($$), Hostal Betel ($)","El Nuevo Metejón (Manuel Oribe 821, $$), Roma (Rivera 592, $$), Zorba Kreep´s (18 de Julio 452, $)",Tel: +598 4362 2403 | Correo: museo.rivera@durazno.gub.uy,"Calle Manuel Oribe esq. Dr. Emilio Penza, frente a la Plaza Independencia, Durazno.","-33.380187, -56.522920",durazno.gub.uy,Moderada,
Museo Histórico Cabildo,Montevideo,Fácil,"Sede del poder colonial y legislativo en el siglo XIX. Hoy alberga salas de exposiciones históricas, mapas, iconografía urbana y un hermoso patio colonial.",Entrada libre y gratuita.,"NH Montevideo Columbia (A 500 m, $$$), Smart Hotel Montevideo (Céntrico, $$), Radisson Victoria Plaza (Céntrico, $$$), Crystal Tower Hotel (Céntrico, $$)","Estrecho ($$), La Corte ($$), Jacinto ($$), Dueto ($$)",Tel: +598 1950 1474 | Correo: museocabildo@imm.gub.uy,"Juan Carlos Gómez 1362, frente a la Plaza Constitución (Matriz).","-34.906582, -56.202841",montevideo.gub.uy,Moderada,
Museo Histórico de Artigas,Artigas,Fácil,"Muestra permanente sobre la revolución artiguista, la historia de la frontera y las herramientas indígenas de la etnia Charrúa.",Entrada libre y gratuita.,"Hotel Casino San Eugenio del Cuareim ($$$), HOTEL DEL NORTE ($$), HAS Hotel Boutique ($$), VIOLETA HOTEL Boutique ($$)","Sin opciones específicas en el museo; se recomienda buscar servicios en la ciudad de Artigas (por ejemplo, Restaurant Boi Brasino, Fusión Artigas, Cafe Bar Cantina Artigas, Trailer Galgo).",Tel: +598 4772 3000 | Correo: cultura@artigas.gub.uy,"Plaza Batlle, Ciudad de Artigas.","-30.404329, -56.469237",artigas.gub.uy,Moderada,
Museo Histórico de Paysandú,Paysandú,Fácil,Exhibición interactiva y objetos que narran los períodos de la Defensa de Paysandú (1864-1865),,"Gran Hotel Paysandú ($$$), Hotel Boutique Casagrande ($$$), Hotel Lobato ($$), Hotel Papiros ($$), Hostel Lazy Gaucho ($)","Trouville (Pleno centro, $$), Cafe Del Teatro (Centro, $$), Bar San Miguel ($$), Empanadas Mac Lucas ($)",Tel: +598 4722 6220 | Correo: museohistorico@paysandu.gub.uy,"Zorrilla de San Martín 874, centro de Paysandú.","-32.318826, -58.081622",paysandu.gub.uy,Moderada,
Museo Histórico Departamental Comandante Juan Spikerman,Canelones,Fácil,Museo que conserva invaluables objetos del proceso revolucionario y fundacional oriental.,Entrada libre.,Hotel Guadalupe ($$),Restaurantes céntricos ($$),Tel: +598 4332 3904,"Calle Treinta y Tres esq. Zorrilla, Canelones","-34.525793, -56.289512",canelones.gub.uy,Emergente,
Museo Histórico Departamental Dr. Fernando Gutiérrez,Flores,Fácil,"Espacio que atesora las colecciones arqueológicas, paleontológicas e históricas del departamento.",Entrada libre.,Hospedajes en Trinidad ($$),Rotiserías locales ($),Tel: +598 4364 3904,"Calle Francisco Fondar 610, Trinidad","-32.318826, -58.081622",flores.gub.uy,Emergente,
Museo Histórico Municipal de Artigas,Artigas,Fácil,Espacio cultural e interpretativo céntrico que exhibe valiosas colecciones históricas de la época fundacional de San Eugenio del Cuareim,,"Hotel Crown ($$), Hotel San Eugenio del Cuareim ($$), El Lirio (Hospedaje, $$), Casa Cálida (Apartamento turístico, $$)","Don Pedro (L.A. de Herrera y Pte. Berreta, $$), Mesón El Recanto (L.A. de Herrera y Lecueder, $$$), La Cafetería (Lecueder y Río Branco, $$), El Estudiante (Plaza de Comidas de la Plaza Batlle, $)",Tel: +598 4772 3000 | Correo: turismo@artigas.gub.uy,Se accede por la Ruta 30 conectando con caminos rurales en dirección al sector norte del departamento.,"-30.404329, -56.469237",artigas.gub.uy,Emergente,
Museo Histórico Municipal de Paysandú,Paysandú,Fácil,"Rico espacio museístico que atesora armas, documentos y reliquias de la mítica defensa y Sitio de Paysandú.",Ingreso libre y gratuito.,"Grand Hotel Paysandú ($$$), Hotel Plaza ($$)",Restaurantes del centro de la ciudad ($$),Tel: +598 4722 6220,"Calle 8 de Octubre 1120, Paysandú","-32.318826, -58.081622",paysandu.gub.uy,Alta,
Museo Histórico Municipal de Santa Lucía (Quinta Capurro),Canelones,Fácil,Casona señorial de finales del siglo XIX rodeada por un jardín histórico botánico con especies exóticas traídas de todo el mundo.,Entrada libre y gratuita al jardín y salas del museo.,"Hotel Oriental (Santa Lucía, $$), Macondo - Posada de Campo (Entorno rural, $$), Alquileres temporales en Airbnb ($-$$)",Sin opciones específicas en la quinta; se recomienda buscar servicios en la ciudad de Santa Lucía.,Tel: +598 4334 6015 | Correo: quintacapurro@imcanelones.gub.uy,"Bulevar Federico Capurro s/n, Ciudad de Santa Lucía.","-34.453713, -56.392983",canelones.gub.uy,Emergente,
Museo Histórico Regional de Cerro Largo,Cerro Largo,Fácil,"Rico espacio museístico en la capital que atesora armas, documentos y reliquias del caudillismo rioplatense.",Ingreso libre y gratuito.,"Hotel Crown ($$), Hoteles céntricos ($$)",Restaurantes del microcentro de la ciudad ($$),Tel: +598 4642 3210,"Calle General Artigas esquina 18 de Julio, Melo","-32.373810, -54.168115",cerrolargo.gub.uy,Moderada,
Museo Histórico Regional de Melo,Cerro Largo,Fácil,"Ubicado en una antigua casona del siglo XIX. Custodia valiosas colecciones de armas de la época de la revolución, carruajes coloniales, indumentarias de época y testimonios de la historia fronteriza.",Entrada libre y gratuita.,"Hotel Juana de Ibarbourou ($$$), Hotel Posada La Comandancia ($$), Hotel Crown ($$), Hotel Imperial ($$), Alojamiento Carol ($$)","La Rueda (Justino Muniz esq. José P. Varela, $$), Forno's (Aparicio Saravia 648, $$), La Rural (Justino Muniz 703, $$), La Higuera (Ruta 8, km 402, $$$)",Tel: +598 4642 2112 int. 120 | Correo: museos@cerrolargo.gub.uy,"Calle Gral. Artigas esq. 18 de Julio, frente a la Plaza Constitución, Melo centro.","-32.373810, -54.168115",cerrolargo.gub.uy,Emergente,
Museo Lacán Guazú,Soriano,Fácil,"Espacio cultural y paleontológico en Dolores que preserva restos de megafauna pampeana, arqueología indígena y muestras históricas.",Entrada libre (se aceptan colaboraciones).,"Hotel Plaza Dolores ($$), Hospedaje El Viñedo ($)","Rotisería Central ($), Restaurante La Tinaja ($$)",Tel: +598 4534 5012 | Correo: lacanguazu@gmail.com,"Calle Puig casi San Salvador, Dolores.","-33.520142, -58.224663",soriano.gub.uy,Emergente,
Museo Luis Solari,Río Negro,Fácil,Espacio dedicado al maestro fraybentino Luis Solari. Alberga una colección única de sus famosas pinturas y grabados con figuras antropomorfas.,Entrada libre y voluntaria.,"Gran Hotel Fray Bentos ($$$), Posada del Frayle Bentos ($$), Hotel 25 de Mayo ($$), Plaza Hotel Fray Bentos ($$)","Friends ($$), Tabacana Resto Bar ($$), Pizzería 33 ($$), El Paragua ($)",Tel: +598 1935 ext. 1875 | Correo: museos@rionegro.gub.uy,"Calle 33 Orientales entre 25 de Mayo y Av. 18 de Julio, Fray Bentos.","-33.116166, -58.313553",rionegro.gub.uy,Emergente,
Museo Mazzoni,Maldonado,Fácil,"Casona histórica del siglo XIX perteneciente a Don Rómulo Mazzoni. Expone mobiliario de época, arqueología indígena, loza colonial y salas de historia regional.",Entrada libre y gratuita.,"De la Plaza Hotel (Maldonado, $$), Hotel Express (Maldonado, $$), Hotel Colonial (Maldonado, $), Cabaña La Sonrisa (Hospedaje, $$), Casita en el Este (Hospedaje, $$)","Tasca de la Plaza ($$), Cafetería de la Plaza ($), El Novillo Alegre ($$$), Pizzería Trouville ($$)",Tel: +598 4222 1116 | Correo: museomazzoni@maldonado.gub.uy,"Calle Itzaingó 789, Maldonado Capital.","-34.907450, -54.958628",culturamaldonado.gub.uy,Moderada,
Museo Militar Fortaleza General Artigas (Cerro),Montevideo,Moderado,"Ubicado en la cima del Cerro de Montevideo. Fortificación colonial de 1809 que alberga armas antiguas, uniformes militares e historia de las batallas patrias, con vistas panorámicas únicas de la bahía.",Entrada general: muy económica (~$50 UYU).,"Radisson Montevideo Victoria Plaza Hotel (Plaza Independencia, $$$), NH Collection Montevideo Columbia (Ciudad Vieja, $$), Smart Hotel Montevideo (Centro, $$), Circus Hostel (Ciudad Vieja, $)","Pizzería y Restaurant La Fortaleza (Grecia 4255, $$), Bar y Restaurant La Farola (Grecia 4256, $$), Bar y Pizzería RamCer (Grecia, $)",Tel: +598 2311 1138 | Correo: departamentoestudioshistoricos@ejercito.mil.uy,"Cima del Cerro de Montevideo, acceso por calle José Batlle y Ordóñez.","-34.888457, -56.260023",http://ejercito.mil.uy,Alta,
Museo Municipal Dr. Bautista Rebuffo,Colonia,Fácil,"El museo más antiguo de la ciudad, con valiosas colecciones de arqueología, paleontología e historia.",Entrada general única para museos: $100 UYU.,Hotel Plaza Centro ($$),Restaurante Mercosur ($$),Tel: +598 4522 1254 | Cultura,"Calle del Comercio 77, Barrio Histórico","-34.472314, -57.852424",colonia.gub.uy,Alta,
Museo Nacional de Artes Visuales (MNAV),Montevideo,Fácil,"La mayor colección pública de arte del país. Alberga obras de Juan Manuel Blanes, Torres García, Figari, Rafael Barradas y exposiciones temporales modernas.",Entrada libre y gratuita para todo público.,"Oliva Luxury Hotel Montevideo ($$$), Dazzler Montevideo ($$), Vivaldi Hotel ($$), El Secreto Casa Art ($), Apartamento Morada Montevideana ($$)","The Lab MNAV (Cafetería en el museo, $$)",Tel: +598 2711 6054 | Correo: secretaria@mnav.gub.uy,"Av. Tomás Giribaldi 2283 esq. Julio Herrera y Reissig, dentro del Parque Rodó.","-34.913871, -56.164659",mnav.gub.uy,Alta,
Museo Numismático del Banco Central,Montevideo,Fácil,"Colección de monedas, billetes, medallas y documentos históricos que narran la evolución económica y de los medios de pago en la historia del Uruguay.",Entrada libre y gratuita (requiere identificación en el ingreso).,"Radisson Montevideo Victoria Plaza Hotel ($$$), Holiday Inn Montevideo ($$), Smart Hotel Montevideo ($$), Hotel Uruguay ($)",No se encontraron opciones de comer específicas,Tel: +598 1967 | Correo: institucional@bcu.gub.uy,Diagonal Fabini 777 (Sede del Banco Central del Uruguay).,"-34.903329, -56.199925",bcu.gub.uy,Emergente,
Museo Pablo Neruda (Atlántida),Canelones,Fácil,"Antigua residencia donde se hospedaba el poeta chileno junto a Matilde Urrutia. Guarda manuscritos, fotos antiguas, cartas y objetos personales.",Entrada general: ~$150 UYU.,"Hotel Argentina ($$), Paradise Complejo Turístico ($$), Estancia Renacimiento ($$), Hotel Centenario ($$), Santoral Restaurante y Posada ($$)","Don Vito (Rambla Mansa, $$), El Discovery ($$), Pizzería Trouville ($$)",Tel: +598 4372 3104 | Correo: museoneruda@atlantida.uy,"Rambla Mansa y calle Central, Atlántida.","-34.524684, -56.281210",atlantida.com.uy,Emergente,
Museo Paleontológico Armando Calcaterra,Colonia,Fácil,"Colección científica que exhibe importantes restos fósiles de la megafauna pampeana del Pleistoceno hallados en la región (gliptodontes, megaterios), ideal para aficionados e investigadores.",Entrada libre y gratuita.,"Real Colonia Hotel & Suites ($$), Hotel Royal ($$), Viajero Posada B&B ($), Radisson Colonia Del Sacramento Hotel ($$$), Dazzler by Wyndham Colonia ($$)",Se recomienda buscar opciones gastronómicas en las inmediaciones de la cercana Plaza de Toros o en el centro histórico de Colonia del Sacramento ($$-$$$),Tel: +598 4522 3700 | Correo: museos.colonia@colonia.gub.uy,"Calle Roger Balet s/n, Real de San Carlos, Colonia del Sacramento.","-34.439043, -57.859093",colonia.gub.uy,Emergente,
Museo Paseo Neruda (Punta del Este),Maldonado,Fácil,"Espacio cultural dedicado al paso del poeta chileno por Punta del Este. Conserva fotografías de época, cartas de amor, primeras ediciones y mobiliario.",Entrada general: ~$150 UYU.,"Don Hotel (Playa Mansa, $$), Club Hotel Casapueblo (Punta Ballena, $$$), Enjoy Punta del Este (Península, $$$)","Virazón ($$$), El Secreto ($$), Guappa ($$$), Il Baretto ($$$)",Tel: +598 4244 5449 | Correo: paseoneruda@gmail.com,Calle 11 (2 de Febrero) esq. Calle 10 (Juan Díaz de Solís).,"-34.966921, -54.949627",puntadeleste.uy,Emergente,
Museo Pedagógico José Pedro Varela,Montevideo,Fácil,"Recorre la historia de la reforma escolar en Uruguay a través de mobiliario antiguo, tinteros, libros escolares históricos, proyectores y material didáctico del siglo XIX.",Entrada libre y gratuita.,"Esplendor by Wyndham Montevideo Cervantes (Centro, $$$), Hotel Balfers (Centro, $$), Hotel Klee (Centro, $$), Hotel Hispano (Centro, $$), Smart Hotel Montevideo (Centro, $$)","Pizzería La Biennale (Plaza Cagancha 1364, $$), Bar Facal (Av. 18 de Julio, $$), El Fogón (San José 1080, $$), Ruffino (San José 1166, $$)",Tel: +598 2900 4607 | Correo: museopedagogicovarela@gmail.com,"Plaza Cagancha 1175, Centro.","-34.905155, -56.190624",anep.edu.uy,Moderada,
Museo Portugués (Colonia),Colonia,Fácil,"Casona del siglo XVIII que expone uniformes, armas, cartografía y mobiliario de la ocupación lusitana.",Entrada general única para museos: $100 UYU.,Posada Don Antonio ($$),El Buen Suspiro ($$),Tel: +598 4522 2154 | Sistema de Museos,"Calle Enríquez de la Peña, frente a Plaza Mayor","-34.472560, -57.851419",colonia.gub.uy,Alta,
Museo Ralli,Maldonado,Fácil,Ubicado en el exclusivo barrio de Beverly Hills. Alberga una de las colecciones de arte latinoamericano y europeo contemporáneo más importantes del continente.,Entrada libre y gratuita.,"Be House Suites & Spa ($$$), Hotel Camelot ($$)","Floreal (Av. Pedragosa Sierra, $$$), L'Auberge (Carnoustie, $$$), El Palenque (Av. Roosevelt, $$$), La Bourgogne (Av. Pedragosa Sierra, $$$)",Tel: +598 4248 3476 | Correo: puntadeleste@museoralli.com,"Calle Los Arrayanes, esq. Los Pitangas, Barrio Beverly Hills.","-34.929494, -54.927135",museoralli.com,Alta,
Museo Regional Carolino,Maldonado,Fácil,Museo histórico en una antigua comandancia militar del siglo XVIII.,Acceso gratuito.,Hotel San Carlos ($$),Restaurante La Comandancia ($$),Tel: +598 4266 9030,"Calle Treinta y Tres 745, San Carlos","-34.793931, -54.911983",maldonado.gub.uy,Emergente,
Museo Regional Carolino (San Carlos),Maldonado,Fácil,"Funciona en una histórica edificación militar (antiguo cuartel colonial de 1772). Exhibe la historia de la fundación de San Carlos, armas y utensilios gaúchos.",Entrada libre y gratuita.,"Hospedaje San Carlos (Dr. Andrés Ceberio 530, $)","Parrillada Don Luis ($$), El Fogón Carolino ($$), Messano Restaurante Parrilladas ($$)",Tel: +598 4266 9314 | Correo: museosancarlos@maldonado.gub.uy,"Calle Treinta y Tres 824, esq. Mariano Soler, Ciudad de San Carlos.","-34.793931, -54.911983",sancarlos.gub.uy,Emergente,
Museo Santiago Chalar,Lavalleja,Fácil,"Espacio biográfico musical en honor al gran folclorista uruguayo, con sus pertenencias e instrumentos.",Ingreso gratuito.,Hoteles en Minas ($$),Restaurantes céntricos ($$),Tel: +598 4442 2201,Dentro del Complejo Cultural de Minas,"-34.347402, -55.224363",lavalleja.gub.uy,Emergente,
Museo sin Fronteras,Rivera,Fácil,Colección privada de piezas históricas de las guerras civiles y la vida indígena regional.,Entrada general: $150.,Hoteles en el centro ($$),Restaurante El Gaucho ($$),Tel: +598 4622 8080,"Calle Uruguay 432, Rivera Ciudad","-30.912053, -55.561848",museosinfronteras.com,Moderada,
Museo Spikerman (Canelones Capital),Canelones,Fácil,"Sede histórica donde juró la Primera Constitución en 1830. Exhibe mobiliario, vestimenta, armas y documentos de la época patria.",Entrada libre y gratuita.,"Hotel Centenario ($$), Pizzorno Lodge & Wine (Progreso, $$$)","Taller Gastronómico Luis Zunino ($$), POLITEAMA CAFE ($), Parrillada La Rueda ($$), LA TABLITA ($$)",Tel: +598 4332 2288 | Correo: cultura@imcanelones.gub.uy,"Calle Treinta y Tres esq. Zorrilla de San Martín, Canelones Capital.","-34.527215, -56.281341",canelones.gub.uy,Emergente,
Museo Torres García,Montevideo,Fácil,"Dedicado a la vida y obra del maestro del Universalismo Constructivo, Joaquín Torres García. Siete pisos con pinturas, juguetes de madera, escritos y tienda de arte.",Entrada general: ~$200 UYU. Menores de 12 gratis.,"Alma Histórica Boutique Hotel ($$$), NH Montevideo Columbia ($$), FAUNA Montevideo ($$), Palacio Hotel ($$), Smart Hotel Montevideo ($$)","La Corte (Sarandí 586, $$), Estrecho (Sarandí 460, $$), Jacinto (Sarandí 349, $$), Café Brasilero (Ituzaingó 1447, $$)",Tel: +598 2916 2663 | Correo: info@torresgarcia.org.uy,"Peatonal Sarandí 683, a pasos de la Plaza Independencia.","-34.906464, -56.201382",https://www.torresgarcia.org.uy/,Alta,
Museo Valdense,Colonia,Fácil,Exposición que relata la epopeya religiosa y migratoria de los valdenses desde los Alpes hasta el Uruguay.,Entrada: $100 UYU.,Casas de huéspedes rurales ($$),Artesanías alimenticias y queserías locales ($$),Tel: +598 4558 8119 | Centro Valdense,"Calle de la Iglesia, Colonia Valdense","-34.344518, -57.267639",colonia.gub.uy,Moderada,
Museo Vivo del Títere,Maldonado,Fácil,Ubicado en el histórico paseo de la Escuela de Arte de Maldonado. Alberga una fascinante colección de títeres de todo el mundo y técnicas variadas.,Entrada libre y gratuita.,"Hotel Express ($$), Hotel Colonial ($), De la Plaza Hotel ($$), Serendipia ($$)",Restaurantes en Maldonado Centro ($$-$$$),Tel: +598 4223 1786 | Correo: museotitere@maldonado.gub.uy,"Calle 25 de Mayo esq. Sarandí (Paseo San Fernando), Maldonado Capital.","-34.909463, -54.957932",culturamaldonado.gug.uy,Emergente,
Nico Pérez,Florida,Fácil,"Pueblo histórico con fuerte identidad ferroviaria y de frontera departamental, hermanado con José Batlle y Ordóñez.",Acceso libre.,Hospedajes familiares muy limitados ($),"Parrillada El Ferroviario ($), Almacenes ($)",Tel: +598 4464 2011,"Ruta 7, km 200","-33.479546, -55.154086",florida.gub.uy,Emergente,
Nueva Helvecia (Colonia Suiza),Colonia,Fácil,"Localidad con fuerte identidad y tradiciones de inmigrantes suizos, austríacos y alemanes. Destaca por su arquitectura europea, queserías artesanales y gastronomía típica.",Acceso libre.,"Hotel Nirvana Resort & Spa ($$$), Granja Hotel Suizo ($$), El Galope Hostel ($), Déjalo Ser ($$)","Restaurante Hotel Suizo ($$), Restaurante L´arbàlete - Hotel Nirvana ($$$), Cafetería El Estribo - Hotel Nirvana ($$), Don Juan ($$), Chiviteria El Dátil ($), Che Paco ($$)",Tel: +598 4554 4701 | Correo: municipio.nuevahelvecia@colonia.gub.uy,"Ruta 1, km 120, conectando con Ruta 52 o Ruta 61 (a 120 km de Montevideo).","-34.290744, -57.235287",colonia.gub.uy,Alta,
Nuevo Berlín,Río Negro,Fácil,"Localidad costera con fuerte identidad alemana, rodeada de islas. Ideal para la pesca deportiva, paseos en canoa y caminatas por senderos costeros.",Acceso libre. Alquiler de lanchas para ',"Hotel Río Uruguay ($$), Cabañas Municipales Nuevo Berlín ($), Camping El Ceibal ($)","El Boliche de los Alemanes ($), Parador El Muelle ($$), Pizzería La Costa ($)","Hotel Río Uruguay ($$), Cabañas Municipales Nuevo Berlín ($), Camping El Ceibal ($)","El Boliche de los Alemanes ($), Parador El Muelle ($$), Pizzería La Costa ($)","-32.976944, -58.046944","Ruta 24, km 45 + 12 km de acceso por Ruta 20.",Emergente,
Obelisco a los Constituyentes de 1830,Montevideo,Fácil,"Aguja de granito de 40 metros de altura realizada por José Luis Zorrilla de San Martín, con tres estatuas de bronce que representan la Ley, la Fuerza y la Libertad.",Acceso libre y gratuito.,"Vivaldi Hotel Loft Punta Carretas ($$), Mérit Montevideo Apart & Suites ($$), Ibis Montevideo Rambla ($), Hotel Klee ($$), Hotel Crystal Tower ($$), Ciudadano Suites ($$)","Plaza de Comidas Tres Cruces Shopping ($$), La Pasiva (Av. 18 de Julio, $$), Bar Tinkal ($$), Cafetería Oro del Rhin ($$)",Tel: +598 1950 2277 | Correo: turismo@imm.gub.uy,"Intersección de Av. 18 de Julio, Av. Luis Morquio y Bulevar Artigas.","-34.897500, -56.164400",montevideo.gub.uy,Alta,
Ombúes de Oribe (Sitio Histórico),Durazno,Fácil,Agrupación histórica de árboles de ombú plantados durante las campañas del General Manuel Oribe.,Acceso libre.,Estancias de campo cercanas ($$$),Sin opciones gastronómicas en el sitio ($),Tel: +598 4362 2201,"Camino al Palacio, cercanías de San Jorge","-33.296307, -56.355897",durazno.gub.uy,Emergente,
Paisaje Cultural Fray Bentos (Ex Anglo),Río Negro,Fácil,"Patrimonio Mundial de la UNESCO. Recorrido por el antiguo complejo industrial cárnico, el Museo de la Revolución Industrial y la icónica chimenea.",Entrada al museo: $150 UYU. Menores de 12 años gratis. Acceso al barrio residencial libre.,"Gran Hotel Fray Bentos ($$), Posada del Frayle Bentos ($$), HOTEL 25 DE MAYO ($), Alojamientos Airbnb ($-$$)","Wolves (Barrio Anglo, $$), Confitería El Paragua ($), Pizzería 33 ($$), Pizzería La Cuica ($)",Tel: +598 1935 ext. 1871 | Correo: turismo@rionegro.gub.uy,"Barrio Anglo, a 3 km del centro de Fray Bentos por Av. de los Constituyentes.","-33.127293, -58.298836",rionegro.gub.uy,Alta,
Paisaje Industrial Fray Bentos (Anglo),Río Negro,Fácil,"Patrimonio Mundial de la Humanidad (UNESCO). Ex planta cárnica (""La cocina del mundo""), museos y arquitectura industrial.",Acceso al barrio libre. Entrada al Museo de la Revolución Industrial: $150 UYU.,"Gran Hotel Fray Bentos ($$$), Posada del Frayle Bentos ($$), Plaza Hotel Fray Bentos ($$), Hotel 25 de Mayo ($), Alojamientos en Las Cañas (A 8 km, $-$$)","Wolves (Barrio Anglo, $$)",Tel: +598 4562 3221 | Correo: museo.anglo@rionegro.gub.uy,"Barrio Anglo, extremo oeste de la ciudad de Fray Bentos.","-33.119362, -58.319479",rionegro.gub.uy,Alta,
Palacio de la Música (Las Piedras),Canelones,Fácil,Centro cultural histórico y sala de espectáculos en el corazón de la ciudad industrial.,Costo según el evento.,Hospedajes en Las Piedras ($$),Pizzería Las Piedras ($),Tel: +598 2364 2015,"Calle Rivera esq. Batlle, Las Piedras","-34.725602, -56.203110",canelones.gub.uy,Emergente,
Palacio de Piedra (Geositio),Flores,Moderado,Singular formación geológica de rocas superpuestas dentro del sistema del Geoparque Mundial UNESCO.,Acceso libre.,Hospedajes rurales de la zona ($$),Sin opciones en el sitio ($),Intendencia de Flores,Camino vecinal desde Ruta 14 norte,"-33.573375, -56.894503",geoparque.uy,Emergente,
Palacio Legislativo,Montevideo,Fácil,"Imponente sede del poder legislativo uruguayo, considerado uno de los parlamentos más bellos del mundo por sus mármoles y detalles.",Visitas guiadas coordinadas: $300.,"Hotel Days Inn ($$), Alojamientos céntricos ($$)",Café del Palacio ($$),Tel: +598 2924 1783,"Av. de las Leyes s/n, Aguada","-34.891252, -56.187222",parlamento.gub.uy,Alta,
Palacio Salvo,Montevideo,Fácil,"Emblemático edificio inaugurado en 1928, símbolo arquitectónico de la ciudad con visitas guiadas a su mirador.",Visita guiada: $400.,"Radisson Victoria Plaza ($$$), Hotel Plaza Fuerte ($$)","Café Sorocabana ($$), Baar Fun Fun ($$)",Tel: +598 2908 9700,"Plaza Independencia 848, Centro","-34.906479, -56.198509",palaciosalvo.uy,Alta,
Palacio Taranco (Museo de Artes Decorativas),Montevideo,Fácil,"Residencia palaciega de estilo francés de principios de siglo XX. Contiene mobiliario europeo original, esculturas, pinturas y una valiosa colección de arqueología clásica.",Entrada libre y gratuita.,"Hotel Palacio (Bartolomé Mitre 1364, $), Don Boutique Hotel (Piedras 234, $$$), Viajero Montevideo Hostel (Bartolomé Mitre 1363, $)","Café Brasilero (Ituzaingó 1447, $$), Restaurant El Navegante (25 de Mayo 349, $$), La Fonda (Pérez Castellano 1442, $$), Jacinto (Sarandí 349, $$)",Tel: +598 2915 1101 | Correo: artesdecorativas@mec.gub.uy,"25 de Mayo 376, frente a la Plaza Zabala.","-34.907018, -56.208287",https://www.instagram.com/artesdecorativasuy/?hl=es,Moderada,
